Model,Video Name,Time Taken,Accuracy
HaarCascade,s1 (1).mpg,1.2397594451904297,100.0
HaarCascade,s1 (2).mpg,0.8751053810119629,100.0
HaarCascade,s1 (3).mpg,0.8740713596343994,100.0
HaarCascade,s1 (4).mpg,0.9141364097595215,100.0
HaarCascade,s1 (5).mpg,0.9401390552520752,100.0
HaarCascade,s1 (6).mpg,0.8619985580444336,100.0
HaarCascade,s1 (7).mpg,0.8453433513641357,100.0
HaarCascade,s1 (8).mpg,0.8641250133514404,100.0
HaarCascade,s1 (9).mpg,0.8953886032104492,100.0
HaarCascade,s1 (10).mpg,0.9403023719787598,100.0
HaarCascade,s1 (11).mpg,0.955359697341919,100.0
HaarCascade,s1 (12).mpg,0.8319084644317627,100.0
HaarCascade,s1 (13).mpg,0.9051504135131836,100.0
HaarCascade,s1 (14).mpg,0.9061028957366943,100.0
HaarCascade,s1 (15).mpg,0.8837614059448242,100.0
HaarCascade,s1 (16).mpg,0.8944556713104248,100.0
HaarCascade,s1 (17).mpg,1.1888940334320068,100.0
HaarCascade,s1 (18).mpg,1.0284407138824463,100.0
HaarCascade,s1 (19).mpg,0.9487576484680176,100.0
HaarCascade,s1 (20).mpg,0.8694155216217041,100.0
HaarCascade,s1 (21).mpg,0.922907829284668,100.0
HaarCascade,s1 (22).mpg,0.944493293762207,100.0
HaarCascade,s1 (23).mpg,0.8480875492095947,100.0
HaarCascade,s1 (24).mpg,0.8962340354919434,100.0
HaarCascade,s1 (25).mpg,0.8702061176300049,100.0
HaarCascade,s1 (26).mpg,1.1421561241149902,100.0
HaarCascade,s1 (27).mpg,0.9342234134674072,100.0
HaarCascade,s1 (28).mpg,0.9202299118041992,100.0
HaarCascade,s1 (29).mpg,0.9925856590270996,100.0
HaarCascade,s1 (30).mpg,1.0448174476623535,100.0
HaarCascade,s1 (31).mpg,1.0502333641052246,100.0
HaarCascade,s1 (32).mpg,1.0157668590545654,100.0
HaarCascade,s1 (33).mpg,1.0169501304626465,100.0
